survey_key,date,length,area,mac_plast_w,mic_plas_w,total_w,est_weight,num_parts_staff,num_parts_other,time_minutes,participants,project,is_2020,location,loc_date
limmat_zuerich_suterdglauserp2020-05-1867,2020-05-18,67,432.00,115.000,0.001,0.980,0.0,1,0,90,"[""HD""]",2020,True,limmat_zuerich_suterdglauserp,"('limmat_zuerich_suterdglauserp', '2020-05-18')"
limmat_zurich_mortensena_meiera2020-06-1221,2020-06-12,21,46.00,0.020,0.000,1.640,0.0,1,0,85,"[""HD""]",2020,True,limmat_zurich_mortensena_meiera,"('limmat_zurich_mortensena_meiera', '2020-06-12')"
linthdammweg2020-11-2296,2020-11-22,96,781.00,50.000,0.000,2.650,0.0,1,0,165,"[""HD""]",2020,True,linthdammweg,"('linthdammweg', '2020-11-22')"
linth_mollis2020-05-1910,2020-05-19,10,16.00,5.000,0.000,0.195,0.0,1,0,60,"[""HD""]",2020,True,linth_mollis,"('linth_mollis', '2020-05-19')"
linth_route9brucke2020-06-1911,2020-06-19,11,39.00,1000.000,0.000,1.000,0.0,1,0,80,"[""HD""]",2020,True,linth_route9brucke,"('linth_route9brucke', '2020-06-19')"
luscherz-plage2020-06-1054,2020-06-10,54,54.00,100.000,0.020,0.100,0.0,1,0,60,"[""HD""]",2020,True,luscherz-plage,"('luscherz-plage', '2020-06-10')"
luscherz-plage2020-07-1157,2020-07-11,57,85.00,2.000,0.000,1.130,0.0,1,0,80,"[""HD""]",2020,True,luscherz-plage,"('luscherz-plage', '2020-07-11')"
luscherz-plage2020-10-3059,2020-10-30,59,246.00,60.000,0.000,0.190,0.0,1,0,95,"[""HD""]",2020,True,luscherz-plage,"('luscherz-plage', '2020-10-30')"
luscherz-plage2021-01-2666,2021-01-26,66,132.00,70.000,0.013,0.150,0.0,1,0,120,"[""HD""]",2020,True,luscherz-plage,"('luscherz-plage', '2021-01-26')"
luscherz-two2020-06-1021,2020-06-10,21,21.00,100.000,0.000,0.148,0.0,1,0,45,"[""HD""]",2020,True,luscherz-two,"('luscherz-two', '2020-06-10')"
maladaire2020-05-2854,2020-05-28,54,108.00,500.000,0.010,0.600,0.0,1,2,169,"[""HD""]",2020,True,maladaire,"('maladaire', '2020-05-28')"
maladaire2020-06-2856,2020-06-28,56,140.00,0.455,0.000,0.765,0.0,1,0,280,"[""PRCS""]",2020,True,maladaire,"('maladaire', '2020-06-28')"
