slug,location,latitude,longitude,post,country,water,water_name,city_slug,water_name_slug,is_2020,city,bfsnum,population
langete_langenthal_geiserm,langete_langenthal_geiserm,47.21653320,7.79230410,4900,CH,r,Langeten,langenthal,langeten,False,Langenthal,329,15624
lavey-la-source,Lavey la source,46.20080400,7.02186600,1892,CH,r,Rhône,lavey-morcles,rhone,True,Lavey-Morcles,5406,946
lavey-les-bains,Lavey les bains,46.20515870,7.01272200,1892,CH,r,Rhône,lavey-les-bains,rhone,True,Lavey-Morcles,5406,946
le-pierrier,Le Pierrier,46.43972700,6.88896800,1815,CH,l,Lac Léman,montreux,lac-leman,True,Montreux,5886,25984
le-port,Le Port,46.45224500,6.85518000,1814,CH,l,Lac Léman,la-tour-de-peilz,lac-leman,False,La Tour-de-Peilz,5889,11828
les-glariers,Les Glariers,46.17673600,7.22892500,6139,CH,r,Rhône,riddes,rhone,True,Riddes,6139,3133
les-vieux-ronquoz,Les Vieux Ronquoz,46.22204870,7.36166400,1950,CH,r,Rhône,sion,rhone,True,Sion,6266,34708
ligerz-strand,Ligerz strand,47.08397900,7.13589400,2514,CH,l,Bielersee,ligerz,bielersee,True,Ligerz,740,544
limmat_dietikon_keiserp,limmat_dietikon_keiserp,47.40798910,8.40953980,8953,CH,r,Limmat,dietikon,limmat,False,Dietikon,243,27265
limmat_unterengstringen_oggierbuhrer,Limmat_Unterengstringen_OggierBührer,47.40940030,8.44693340,8103,CH,r,Limmat,unterengstringen,limmat,False,Unterengstringen,249,3881
limmat_zuerich_jansena,Limmat_Zuerich_JansenA,47.40002470,8.48468470,8064,CH,r,Limmat,zurich,limmat,True,Zürich,261,415367
limmat_zuerich_suterdglauserp,limmat_zuerich_suterd&glauserp,47.39453930,8.51344350,8005,CH,r,Limmat,zurich,limmat,True,Zürich,261,415367
limmat_zuerich_wagnerc,Limmat_Zuerich_WagnerC,47.40349560,8.47777010,8064,CH,r,Limmat,zurich,limmat,False,Zürich,261,415367
limmat_zurich_mortensena_meiera,limmat_zürich_mortensena_meiera,47.40025150,8.48541100,8064,CH,r,Limmat,zurich,limmat,True,Zürich,261,415367
linthdammweg,Linthdammweg,47.13179000,9.09191000,8872,CH,r,Linthkanal,weesen,linthkanal,True,Weesen,3316,1724
linth_mollis,Linth_Mollis,47.13137000,9.09476800,8872,CH,r,Linthkanal,glarus-nord,linthkanal,True,Glarus Nord,1630,18483
linth_route9brucke,Linth_Route9brücke,47.12573000,9.11734000,8757,CH,r,Escherkanal,glarus-nord,escherkanal,True,Glarus Nord,1630,18483
lorze_baar_blarere,Lorze_Baar_BlarerE,47.19540190,8.54023700,6340,CH,r,Lorze,baar,lorze,False,Baar,1701,24468
luscherz-plage,Lüscherz plage,47.04795510,7.15124200,2576,CH,l,Bielersee,luscherz,bielersee,True,Lüscherz,497,560
luscherz-two,Lüscherz two,47.04751900,7.15282920,2573,CH,l,Bielersee,luscherz,bielersee,True,Lüscherz,497,560
lotschebach_bern_scheurerk,lötschebach_bern_scheurerk,46.96494600,7.49283590,3072,CH,r,Lötschebach,ostermundigen,lotschebach,False,Ostermundigen,363,17751
maladaire,Maladaire,46.44629600,6.87696000,1814,CH,l,Lac Léman,la-tour-de-peilz,lac-leman,True,La Tour-de-Peilz,5889,11828
mammern-swisslitterreport,Mammern swisslitterreport,47.65583660,8.95531680,8266,CH,l,Untersee,steckborn,untersee,False,Steckborn,4864,3753
mols-rocks,mols rocks,47.11434320,9.28817370,8885,CH,l,Walensee,quarten,walensee,True,Quarten,3295,2937
murg-bad,Murg Bad,47.11530700,9.21569100,8877,CH,l,Walensee,quarten,walensee,True,Quarten,3295,2937
murg_waengi_strickerr,Murg_Waengi_StrickerR,47.49361000,8.96159280,9545,CH,r,Murg,wangi,murg,False,Wängi,4781,4720
muhlehorn-dorf,Mühlehorn dorf,47.11844800,9.17212400,8874,CH,l,Walensee,glarus-nord,walensee,True,Glarus Nord,1630,18483
mullermatte,Müllermatte,47.13333900,7.22790700,2505,CH,l,Bielersee,biel,bielersee,True,Biel/Bienne,371,55159
neuenburgersee_cudrefin_mattera,Neuenburgersee_Cudrefin_MatterA,46.96270890,7.02596810,1588,CH,l,Neuenburgersee,cudrefin,neuenburgersee,False,Cudrefin,5456,1633
nidau-strand,Nidau strand,47.12719600,7.23261300,2560,CH,l,Bielersee,nidau,bielersee,True,Nidau,743,6823
nouvelle-plage,Nouvelle plage,46.85664640,6.84842800,1470,CH,l,Neuenburgersee,estavayer,neuenburgersee,True,Estavayer,2054,9716
oben-am-see,Oben am see,46.74445107,8.04992110,3855,CH,l,Brienzersee,brienze-be,brienzersee,True,Brienz (BE),573,3092
ognonnaz-1,Ognonnaz 1,46.45994130,6.85913410,1800,CH,r,Ognonnaz,vevey,ognonnaz,False,Vevey,5890,19891
oyonne,Oyonne,46.45668200,6.85226200,1814,CH,l,Lac Léman,la-tour-de-peilz,lac-leman,True,La Tour-de-Peilz,5889,11828
pacha-mama-gerra,pacha mama-gerra,46.12347300,8.78350800,6576,CH,l,Lago Maggiore,gambarogno,lago-maggiore,True,Gambarogno,5398,5192
parc-des-pierrettes,Parc des Pierrettes,46.51521500,6.57553100,1025,CH,l,Lac Léman,saint-sulpice,lac-leman,True,Saint-Sulpice (VD),5648,4668
pecos-plage,Pécos Plage,46.80359000,6.63665000,1422,CH,l,Neuenburgersee,grandson,neuenburgersee,True,Grandson,5561,3357
pfaffner_rothrist_ischik,Pfaffner_Rothrist_Ischik,47.29856780,7.89946640,4852,CH,r,Pfaffnern,rothrist,pfaffnern,False,Rothrist,4282,9127
pierrier-sud,Pierrier sud,46.43956010,6.89100010,1815,CH,l,Lac Léman,montreux,lac-leman,False,Montreux,5886,25984
plage-de-cheyres,Plage de Cheyres,46.81868900,6.78225600,1468,CH,l,Neuenburgersee,cheyres,neuenburgersee,True,Cheyres-Châbles,2055,2320
plage-de-dorigny,Plage de Dorigny,46.51816900,6.58331900,1025,CH,l,Lac Léman,saint-sulpice,lac-leman,False,Saint-Sulpice (VD),5648,4668
plage-de-st-sulpice,Plage de St Sulpice,46.51326500,6.57097700,1025,CH,l,Lac Léman,saint-sulpice,lac-leman,True,Saint-Sulpice (VD),5648,4668
pointe-dareuse,Pointe d'Areuse,46.94619000,6.87097000,2017,CH,l,Neuenburgersee,boudry,neuenburgersee,True,Boudry,6404,6154
preverenges,Préverenges,46.51269000,6.52765700,1028,CH,l,Lac Léman,preverenges,lac-leman,True,Préverenges,5643,5287
preverenges-le-sout,preverenges-le sout,46.50890490,6.53452630,1028,CH,l,Lac Léman,preverenges,lac-leman,True,Préverenges,5643,5287
quai-maria-belgia,Quai Maria Belgia,46.46015600,6.83671800,1800,CH,l,Lac Léman,vevey,lac-leman,True,Vevey,5890,19891
rastplatz-stampf,Rastplatz Stampf,47.21517700,8.84428600,8645,CH,l,Zurichsee,jona-city,zurichsee,True,Rapperswil-Jona,3340,26999
reuss,Reuss,47.32986910,8.35684930,5626,CH,r,Reuss,bremgarten,reuss,False,Bremgarten (AG),4063,7946
reuss_hunenberg_eberhardy,reuss_hünenberg_eberhardy,47.23297550,8.40101210,6331,CH,r,Reuss,hunenberg,reuss,True,Hünenberg,1703,8808
reuss_ottenbach_schoenenbergerl,reuss_ottenbach_schoenenbergerl,47.27835450,8.39422420,5634,CH,r,Reuss,merenschwand,reuss,True,Merenschwand,4234,3549
reuss_stkarli_linigersimhofy,Reuss_St.Karli_LinigerS/ImhofY,47.05711180,8.28791450,6004,CH,r,Reuss,luzern,reuss,False,Luzern,1061,81691
rhein-beach-tinguely,Rhein Beach Tinguely,47.55864390,7.61215360,4058,CH,r,Rhein,basel,rhein,False,Basel,2701,172258
