code,material,description,source,source_two,source_three,parent_code,direct,single_use,micro,ospar_code
G917,Glass,Terracotta balls,Utility items,unk,none,G210,False,False,False,96
G921,Glass,Ceramic tile and pieces,Construction,cons,none,G204,False,False,False,94
G174,Metal,Aerosol spray cans,Packaging,cons,,Parent code,True,False,False,
G175,Metal,"Cans, beverage",Packaging,food,none,Parent code,True,True,False,78
G176,Metal,"Cans, food",Packaging,food,none,Parent code,True,True,False,82
G177,Metal,"Foil wrappers, aluminum foil",Packaging,food,none,Parent code,True,False,False,81
G178,Metal,"Metal bottle caps, lids & pull tabs from cans",Packaging,food,Direct,Parent code,True,True,False,77
G179,Metal,Disposable BBQs,Recreation,food,,Parent code,True,False,False,
G180,Metal,Appliances,Utility items,unk,,Parent code,True,False,False,
G181,Metal,"Tableware metal;  cups, cutlery etc.",Food,food,none,Parent code,True,False,False,89
G182,Metal,"Fishing; hooks, weights, lures, sinkers etc.",Fishing,recre,none,Parent code,True,False,False,80
G183,Metal,Fish hook remains,Fishing,recre,,Parent code,True,False,False,
G184,Metal,Lobster pots,Fishing,recre,,Parent code,True,False,False,
G185,Metal,Middle size containers,Utility items,unk,,Parent code,True,False,False,
G186,Metal,Industrial scrap,Undefined,cons,,Parent code,True,False,False,
G187,Metal,Drums,Packaging,cat,,Parent code,True,False,False,
G188,Metal,Other cans < 4 L,Packaging,cons,none,Parent code,True,False,False,89
G189,Metal,"Gas bottles, drums and buckets > 4 L",Packaging,cons,none,Parent code,True,False,False,none
G190,Metal,Paint cans,Packaging,cons,,Parent code,True,False,False,
G191,Metal,Wire and mesh,Utility items,cat,,Parent code,True,False,False,
G192,Metal,Barrels,Undefined,cat,,Parent code,True,False,False,
G193,Metal,car parts and batteries,Vehicle,unk,,Parent code,True,False,False,
G194,Metal,"Cables, metal wire(s) often inside rubber or plastic tubes",Construction,cons,none,Parent code,False,False,False,89
G195,Metal,Batteries - household,Utility items,pi,,Parent code,True,False,False,
G196,Metal,Large metallic objects,Undefined,unk,,Parent code,True,False,False,
G197,Metal,Other metal,Undefined,unk,,Parent code,True,False,False,
G198,Metal,Other metal pieces < 50cm,Undefined,unk,,Parent code,True,False,False,
