slug,location,latitude,longitude,post,country,water,water_name,city_slug,water_na_1,is_2020,city,bfsnum,population,length
lac-leman-hammerdirt,Lac Léman Hammerdirt,46.450389199999996,6.858234200000000,1814,CH,l,Lac Léman,la-tour-de-peilz,lac-leman,False,La Tour-de-Peilz,5889,11828,42554.932
tschilljus,Tschilljus,46.304398999999997,7.580262000000000,3970,CH,r,Rhône,salgesch,rhone,True,Salgesch,6113,1548,30348.994
arabie,Arabie,46.462099000000002,6.834972000000000,1800,CH,l,Lac Léman,vevey,lac-leman,False,Vevey,5890,19891,33332.574
signalpain,Signalpain,46.786200000000001,6.647360000000000,1400,CH,l,Neuenburgersee,yverdon-les-bains,neuenburgersee,True,Yverdon-les-Bains,5938,30157,35397.814
vierwaldstattersee_weggis_schoberls_1,vierwaldstättersee_weggis_schöberls_1,47.044532099999998,8.418568900000000,6353,CH,l,Quatre Cantons,weggis,quatre-cantons,False,Weggis,1069,4369,34311.346
bodensee_thal_schlachterj_1,bodensee_thal_schlachterj_1,47.486216300000002,9.543909899999999,9422,CH,l,Bodensee,thal,bodensee,False,Thal,3237,6571,18187.010
tolochenaz,Tolochenaz,46.497509500000000,6.482874700000000,1131,CH,l,Lac Léman,tolochenaz,lac-leman,True,Tolochenaz,5649,1933,26062.532
reuss_hunenberg_eberhardy,reuss_hünenberg_eberhardy,47.232975500000002,8.401012100000001,6331,CH,r,Reuss,hunenberg,reuss,True,Hünenberg,1703,8808,32229.921
pointe-dareuse,Pointe d'Areuse,46.946190000000001,6.870970000000000,2017,CH,l,Neuenburgersee,boudry,neuenburgersee,True,Boudry,6404,6154,29522.629
bodensee_arbon_moslis,Bodensee_Arbon_MosliS,47.520888700000000,9.431144000000000,9320,CH,l,Bodensee,arbon,bodensee,False,Arbon,4401,14633,12833.336
plage-de-st-sulpice,Plage de St Sulpice,46.513264999999997,6.570977000000000,1025,CH,l,Lac Léman,saint-sulpice,lac-leman,True,Saint-Sulpice (VD),5648,4668,32506.129
villa-barton,Villa Barton,46.222349999999999,6.152500000000000,1202,CH,l,Lac Léman,geneve,lac-leman,True,Genève,6621,201818,34002.876
mammern-swisslitterreport,Mammern swisslitterreport,47.655836600000001,8.955316800000000,8266,CH,l,Untersee,steckborn,untersee,False,Steckborn,4864,3753,39497.465
sitter_stgallen_steinbrunnerf,sitter_stgallen_steinbrunnerf,47.433291699999998,9.358074700000000,9000,CH,r,Sitter,st-gallen,sitter,False,St. Gallen,3203,75833,18587.994
preverenges,Préverenges,46.512689999999999,6.527657000000000,1028,CH,l,Lac Léman,preverenges,lac-leman,True,Préverenges,5643,5287,37975.217
pfaffner_rothrist_ischik,Pfaffner_Rothrist_Ischik,47.298567800000001,7.899466400000000,4852,CH,r,Pfaffnern,rothrist,pfaffnern,False,Rothrist,4282,9127,33720.434
rhein_basel_hungerbuehlern,Rhein_Basel_HungerbuehlerN,47.558217599999999,7.610348800000000,4058,CH,r,Rhein,basel,rhein,False,Basel,2701,172258,43527.872
walensee_walenstadt_wysse,Walensee_Walenstadt_WyssE,47.121828200000003,9.299551700000000,8880,CH,l,Walensee,walenstadt,walensee,True,Walenstadt,3298,5679,82775.374
reuss_stkarli_linigersimhofy,Reuss_St.Karli_LinigerS/ImhofY,47.057111800000001,8.287914499999999,6004,CH,r,Reuss,luzern,reuss,False,Luzern,1061,81691,29377.315
seez_spennwiesenbrucke,Seez_Spennwiesenbrücke,47.114947999999998,9.310123000000001,8880,CH,r,Seez,walenstadt,seez,True,Walenstadt,3298,5679,74623.878
sempachersee_sempach_tampec,sempachersee_sempach_tampec,47.128618099999997,8.191873700000000,6204,CH,l,Sempachsee,sempach,sempachsee,False,Sempach,1102,4169,43200.482
flibach-river-right-bank,Flibach River Right bank,47.133741999999998,9.105461000000000,8872,CH,l,Walensee,weesen,walensee,True,Weesen,3316,1724,30841.838
bern-tiergarten,Bern Tiergarten,46.933157399999999,7.452004100000000,3005,CH,r,Aare,bern,aare,True,Bern,351,133883,30481.131
aare_post,Aare_post,47.116664999999998,7.271953000000000,2562,CH,r,Aare|Nidau-Büren-Kanal,port,aarenidau-buren-kanal,True,Port,745,3695,66934.621
inn_pradella_kohlt,Inn_Pradella_KohlT,46.800876000000002,10.319993999999999,7550,CH,r,Inn,scuol,inn,False,Scuol,3762,4591,43951.122
vira-gambarogno,Vira Gambarogno,46.143343000000002,8.838759000000000,6574,CH,l,Lago Maggiore,gambarogno,lago-maggiore,True,Gambarogno,5398,5192,28831.460
