UUID,slug,location,latitude,longitude,post,country,water,water_name,city_slug,water_na_1,is_2020,city,bfsnum,population,surface
{04D08B78-FEE7-4020-A7E8-095D51C3DAC5},vidy-ruines,Vidy ruines,46.516221000000002,6.596279000000000,1007,CH,l,Lac Léman,lausanne,lac-leman,True,Lausanne,5586,139111,33907.382
{793E5315-AD5B-484A-BB7A-BA1EFFBC6CCD},sihl_adliswil_oggi_fort,Sihl_Adliswil_Oggi_Fort,47.312421700000002,8.526254900000000,8134,CH,r,Sihl,adliswil,sihl,False,Adliswil,131,18769,144594.232
{93CE087C-31AF-4870-9AF2-8C7F22CDD646},ognonnaz-1,Ognonnaz 1,46.459941299999997,6.859134100000000,1800,CH,r,Ognonnaz,vevey,ognonnaz,False,Vevey,5890,19891,103290.832
{8C708B86-ED7A-49AD-AC00-3341F0E522B9},bern-fahrstrasse,Bern Fahrstrasse,46.975866000000003,7.444210000000000,3004,CH,r,Aare,bern,aare,True,Bern,351,133883,59905.024
{3C691FF8-A6AB-4F9C-93D1-6D2D95456EFB},zuerichsee_richterswil_benkoem_2,zuerichsee_richterswil_benkoem_2,47.217645800000000,8.698713300000000,8805,CH,l,Zurichsee,richterswil,zurichsee,True,Richterswil,138,13513,11977.442
{A4A1DBF4-7B8E-4028-94CD-9D2423F48E13},pierrier-sud,Pierrier sud,46.439560100000001,6.891000100000000,1815,CH,l,Lac Léman,montreux,lac-leman,False,Montreux,5886,25984,90676.894
{5E00C145-2015-450E-9394-A47C90D4409F},aare_elfenau_cataldiv,Aare_Elfenau_cataldiv,46.931020099999998,7.462960500000000,3006,CH,r,Aare,bern,aare,False,Bern,351,133883,48703.030
{DAFD72A8-5288-4615-A975-E5358C39DBE0},zugersee_immensee_guedesd,zugersee_Immensee_Guedesd,47.106686900000000,8.478881200000000,6344,CH,l,Zugersee,meierskappel,zugersee,False,Meierskappel,1064,1460,1808.450
{CE4F66ED-BB23-493F-9D61-8A73FC503437},rhein_eglisau_gomringerp,rhein_eglisau_gomringerp,47.573315899999997,8.534584700000000,8193,CH,r,Rhein,eglisau,rhein,False,Eglisau,55,5217,26660.843
{3C53168A-AD23-4B99-A5ED-F2BFB5FF27BD},limmat_zuerich_suterdglauserp,limmat_zuerich_suterd&glauserp,47.394539299999998,8.513443499999999,8005,CH,r,Limmat,zurich,limmat,True,Zürich,261,415367,199157.260
