slug,location,latitude,longitude,city,post,country,water,water_name,city_slug,water_na_1,is_2020,NUMPOINTS
katzenbach_zuerich_sanesim,katzenbach_zuerich_sanesim,47.428472800000002,8.513088000000000,Zurich,8046,CH,l,Katzensee,zurich,katzensee,False,0
katzensee_regensdorfzuerichaffoltern_stueberj,katzensee_regensdorfzuerichaffoltern_stueberj,47.431128100000002,8.492924300000000,Zurich,8046,CH,l,Katzensee,zurich,katzensee,False,0
kusnachter-dorfbach-tobelweg-1-4,Küsnachter Dorfbach Tobelweg 1-4,47.317770000000003,8.588258000000000,Küsnacht,8700,CH,r,Dorfbach,kusnacht,dorfbach,True,6
la-morges,La Morges,46.504063000000002,6.494099000000000,Morges,1110,CH,l,Lac Léman,morges,lac-leman,False,2
la-pecherie,La Pêcherie,46.463918700000001,6.385732100000000,Allaman,1165,CH,l,Lac Léman,allaman,lac-leman,True,6
la-petite-plage,La Petite plage,46.785054000000002,6.656877000000000,Yverdon-les-Bains,1400,CH,l,Neuenburgersee,yverdon-les-bains,neuenburgersee,True,14
la-thiele_le-mujon_confluence,La Thièle_Le Mujon_confluence,46.775340000000000,6.630900000000000,Yverdon-les-Bains,1400,CH,r,La Thièle,yverdon-les-bains,la-thiele,True,0
lac-leman-hammerdirt,Lac Léman Hammerdirt,46.450389199999996,6.858234200000000,La Tour de Peilz,1814,CH,l,Lac Léman,la-tour-de-peilz,lac-leman,False,4
lacleman_gland_kubela,lacléman_gland_kubela,46.402869299999999,6.281935800000000,Gland,1196,CH,l,Lac Léman,gland,lac-leman,False,0
lacleman_gland_lecoanets,Lacléman_Gland_LecoanetS,46.402810600000002,6.281958600000000,Gland,1196,CH,l,Lac Léman,gland,lac-leman,True,0
lacleman_vidy_santie,lacléman_vidy_santie,46.518317799999998,6.589607800000000,Lausanne,1007,CH,l,Lac Léman,lausanne,lac-leman,False,4
langete_langenthal_geiserm,langete_langenthal_geiserm,47.216533200000001,7.792304100000000,Langenthal,4900,CH,r,Langeten,langenthal,langeten,False,0
le-pierrier,Le Pierrier,46.439726999999998,6.888968000000000,Montreux,1815,CH,l,Lac Léman,montreux,lac-leman,True,8
le-port,Le Port,46.452244999999998,6.855180000000000,La Tour de Peilz,1814,CH,l,Lac Léman,la-tour-de-peilz,lac-leman,False,4
les-glariers,Les Glariers,46.176735999999998,7.228925000000000,Riddes,6139,CH,r,Rhône,riddes,rhone,True,0
les-vieux-ronquoz,Les Vieux Ronquoz,46.222048700000002,7.361664000000000,Sion,1950,CH,r,Rhône,sion,rhone,True,0
ligerz-strand,Ligerz strand,47.083978999999999,7.135894000000000,Ligerz,2514,CH,l,Bielersee,ligerz,bielersee,True,7
limmat_dietikon_keiserp,limmat_dietikon_keiserp,47.407989100000002,8.409539799999999,Dietikon,8953,CH,r,Limmat,dietikon,limmat,False,0
limmat_unterengstringen_oggierbuhrer,Limmat_Unterengstringen_OggierBührer,47.409400300000001,8.446933400000001,Unterengstringen,8103,CH,r,Limmat,unterengstringen,limmat,False,0
limmat_zuerich_jansena,Limmat_Zuerich_JansenA,47.400024700000003,8.484684700000001,Zurich,8064,CH,r,Limmat,zurich,limmat,True,0
limmat_zuerich_suterdglauserp,limmat_zuerich_suterd&glauserp,47.394539299999998,8.513443499999999,Zurich,8005,CH,r,Limmat,zurich,limmat,True,0
limmat_zuerich_wagnerc,Limmat_Zuerich_WagnerC,47.403495599999999,8.477770100000001,Zurich,8064,CH,r,Limmat,zurich,limmat,False,0
limmat_zurich_mortensena_meiera,limmat_zürich_mortensena_meiera,47.400251500000003,8.485410999999999,Zurich,8064,CH,r,Limmat,zurich,limmat,True,0
linthdammweg,Linthdammweg,47.131790000000002,9.091910000000000,Weesen,8872,CH,r,Linthkanal,weesen,linthkanal,True,10
linth_mollis,Linth_Mollis,47.131369999999997,9.094768000000000,Glarus Nord,8872,CH,r,Linthkanal,glarus-nord,linthkanal,True,12
linth_route9brucke,Linth_Route9brücke,47.125729999999997,9.117340000000000,Glarus Nord,8757,CH,r,Escherkanal,glarus-nord,escherkanal,True,12
lorze_baar_blarere,Lorze_Baar_BlarerE,47.195401900000000,8.540236999999999,Baar,6340,CH,r,Lorze,baar,lorze,False,0
luscherz-plage,Lüscherz plage,47.047955100000003,7.151242000000000,Lüscherz,2576,CH,l,Bielersee,luscherz,bielersee,True,12
luscherz-two,Lüscherz two,47.047519000000001,7.152829200000000,Lüscherz,2573,CH,l,Bielersee,luscherz,bielersee,True,12
lotschebach_bern_scheurerk,lötschebach_bern_scheurerk,46.964945999999998,7.492835900000000,Ostermundigen,3072,CH,r,Lötschebach,ostermundigen,lotschebach,False,0
maladaire,Maladaire,46.446295999999997,6.876960000000000,La Tour de Peilz,1814,CH,l,Lac Léman,la-tour-de-peilz,lac-leman,True,6
mammern-swisslitterreport,Mammern swisslitterreport,47.655836600000001,8.955316800000000,Steckborn,8266,CH,l,Untersee,steckborn,untersee,False,0
mols-rocks,mols rocks,47.114343200000000,9.288173700000000,Quarten,8885,CH,l,Walensee,quarten,walensee,True,12
