UUID,DATUM_AEND,DATUM_ERST,ERSTELL_J,ERSTELL_M,REVISION_J,REVISION_M,GRUND_AEND,HERKUNFT,HERKUNFT_J,HERKUNFT_M,OBJEKTART,REVISION_Q,BAU_NAME_U,NAME,NUTZUNG,slug,water_name,city_slug,area
{D4221497-2F6B-4E55-BC57-54A2F8C7FFC0},2014/10/20,2014/09/19,2014,9,2013,6,verbessert,swisstopo,2013,6,Gebaeude,1412_Aufbau,,,,reuss_ottenbach_schoenenbergerl,Reuss,merenschwand,7070.938
{B4E0CCE1-F574-4E7B-9C79-F6FBCA6CCEC3},2016/10/31,2010/11/18,2010,4,2016,6,verbessert,swisstopo,2016,6,Gebaeude,2016_Aufbau,,,,nouvelle-plage,Neuenburgersee,estavayer,6469.070
{0FE285CE-3838-4CAD-B21D-99D7FA1B141A},2013/11/08,2011/10/18,2011,3,2018,6,real,swisstopo,2011,6,Gebaeude,2018_Aufbau,,,,rhein_basel_hungerbuehlern,Rhein,basel,154255.267
{7C5C4A60-4D74-49E4-A726-3F3560F73F25},2015/09/17,2009/09/01,2008,8,2014,6,verbessert,swisstopo,2014,6,Gebaeude,2015_Aufbau,,,,flibach-river-right-bank,Walensee,weesen,29190.168
{79854B67-7B02-42B1-ABA5-A83F05D2005E},2017/03/24,2009/02/19,2004,6,2016,6,verbessert,swisstopo,2016,6,Gebaeude,2017_Aufbau,,,,arabie,Lac Léman,vevey,101110.048
{8D23F632-3D71-40BD-873F-93FCA3A2EBCB},2013/11/14,2013/11/14,2013,6,2016,6,verbessert,swisstopo,2013,6,Gebaeude,2018_Aufbau,,,,vorderrhein_disentis_schmidn,Vorderrhein,disentis-muster,2056.336
{86803780-4C33-43E9-90BB-C91F3AD3AF63},2013/07/19,2013/07/19,2010,6,2014,6,verbessert,swisstopo,2010,6,Treibhaus,1412_Aufbau,,,,katzenbach_zuerich_sanesim,Katzensee,zurich,36257.407
{2BEDF81A-6960-47D2-A324-0BDDD08ED75E},2019/10/04,2011/05/04,2010,4,2018,6,verbessert,swisstopo,2018,6,Gebaeude,2017_Aufbau,,,,thunersee_spiez_meierd_1,Thunersee,spiez,9602.495
{7C002B9C-35F5-4117-BA21-EE21F180E2C6},2014/12/10,2011/05/02,2010,4,2016,6,verbessert,swisstopo,2013,6,Gebaeude,2017_Aufbau,,,,camping-gwatt-strand,Thunersee,thun,30961.619
{BB3E08B8-E4A9-4040-86E5-4D62DF0B043A},2014/12/09,2011/06/14,2010,4,2016,6,verbessert,swisstopo,2013,6,Gebaeude,2017_Aufbau,,,,grand-clos,Lac Léman,saint-gingolph,15392.861
