,code,rank,location,population,groupname,l_weight,type,pcs_m,n_times,quantity,% of total,n_weight
146,G10,144,aare_bern_scheurerk,133883.0,food,0.008,r,0.0,1,0,0.0,0.008
147,G10,144,aare_suhrespitz_badert,21506.0,food,0.008,r,0.0,1,0,0.0,0.008
148,G10,144,augustmutzenbergstrandweg,12812.0,food,0.008,l,0.0,1,0,0.0,0.008
149,G10,144,gummligrabbe,1920.0,food,0.008,r,0.0,1,0,0.0,0.008
150,G10,144,la-thiele_le-mujon_confluence,30157.0,food,0.008,r,0.0,1,0,0.0,0.008
151,G10,144,thunersee_spiez_meierd_1,12812.0,food,0.088,l,0.0,1,0,0.0,0.008
152,G10,145,aare-solothurn-lido-strand,16777.0,food,0.008,r,0.0,1,0,0.0,0.008
153,G10,145,aare_brugg_buchie,11179.0,food,0.008,r,0.0,1,0,0.0,0.008
154,G10,145,bern-tiergarten,133883.0,food,0.008,r,0.0,1,0,0.0,0.008
155,G10,145,impromptu_cudrefin,1633.0,food,0.008,l,0.0,1,0,0.0,0.008
156,G10,145,plage-de-cheyres,2320.0,food,0.088,l,0.0,1,0,0.0,0.008
157,G10,145,spackmatt,3480.0,food,0.008,r,0.0,1,0,0.0,0.008
158,G10,145,thunersee_spiez_meierd_1,12812.0,food,0.088,l,0.0,2,0,0.0,0.016
159,G10,146,aare_post,3695.0,food,0.008,r,0.0,1,0,0.0,0.008
160,G10,146,la-petite-plage,30157.0,food,0.088,l,0.0,1,0,0.0,0.008
161,G10,146,luscherz-plage,560.0,food,0.032,l,0.0,1,0,0.0,0.008
162,G10,146,plage-de-cheyres,2320.0,food,0.088,l,0.0,1,0,0.0,0.008
163,G10,146,ruisseau-de-la-croix-plage,2320.0,food,0.008,l,0.0,1,0,0.0,0.008
164,G10,146,thunersee_spiez_meierd_1,12812.0,food,0.088,l,0.0,1,0,0.0,0.008
165,G10,147,aare-limmatspitz,5414.0,food,0.008,r,0.0,1,0,0.0,0.008
166,G10,147,brugg-be-buren-bsg-standort,4390.0,food,0.008,r,0.0,1,0,0.0,0.008
167,G10,147,camp-des-peches,4645.0,food,0.008,l,0.0,1,0,0.0,0.008
168,G10,147,gals-reserve,827.0,food,0.016,l,0.0,1,0,0.0,0.008
169,G10,147,la-petite-plage,30157.0,food,0.088,l,0.0,2,0,0.0,0.016
170,G10,147,luscherz-plage,560.0,food,0.032,l,0.0,1,0,0.0,0.008
171,G10,147,sundbach-strand,1195.0,food,0.016,l,0.0,1,0,0.0,0.008
172,G10,147,thunersee_spiez_meierd_1,12812.0,food,0.088,l,0.0,2,0,0.0,0.016
173,G10,148,aare_bern_gerberm,133883.0,food,0.008,r,0.0,1,0,0.0,0.008
174,G10,148,bielersee_vinelz_fankhausers,867.0,food,0.088,l,0.0,1,0,0.0,0.008
175,G10,148,delta-park,12812.0,food,0.008,l,0.0,1,0,0.0,0.008
176,G10,148,nidau-strand,6823.0,food,0.008,l,0.0,1,0,0.0,0.008
177,G10,148,plage-de-cheyres,2320.0,food,0.088,l,0.0,3,0,0.0,0.024
178,G10,148,schusspark-strand,55159.0,food,0.016,r,0.0,1,0,0.0,0.008
179,G10,148,thunersee_spiez_meierd_1,12812.0,food,0.088,l,0.0,1,0,0.0,0.008
180,G10,149,bielersee_vinelz_fankhausers,867.0,food,0.088,l,0.0,3,0,0.0,0.024
181,G10,149,la-petite-plage,30157.0,food,0.088,l,0.0,2,0,0.0,0.016
