,code,material,description,source,source_two,source_three,parent_code,direct,single_use,micro,ospar_code
209,G930,plastique,Bouchons d'oreille en mousse,Personal hygiene,Where does it come from,Where does it come from,G124,True,True,False,Ospar...
210,G931,plastique,"Ruban pour barrière, police, construction",Utility items,Construction,Recreation,G124,True,True,False,Ospar...
211,G932,plastique,"Bio-perles, micro plastique pour les eaux usées",Water Treatment,Where does it come from,Where does it come from,G91,False,False,True,Ospar...
212,G933,plastique,"Sacs, étuis pour accessoires; lunettes, électronique",Undefined,Personal equipment,Where does it come from,G124,True,False,False,Ospar...
213,G934,plastique,"Sacs de sable, en plastique, pour le contrôle de l'érosion",Construction,Where does it come from,Where does it come from,G124,True,True,False,Ospar...
214,G935,plastique,"Tampons et pièces pour bâtons de marche, souvent en élastomère",Recreation,Where does it come from,Where does it come from,G124,False,False,False,Ospar...
215,G936,plastique,Film sur les serres,Agriculture,Where does it come from,Where does it come from,G67,False,False,False,40
216,G937,plastique,Appâts à phéromones pour les vignobles,Agriculture,Where does it come from,Where does it come from,G124,False,False,False,Ospar...
217,G938,plastique,"Cure-dents, fil dentaire en plastique",Personal hygiene,Where does it come from,Where does it come from,G124,True,True,False,Ospar...
218,G939,plastique,"Fleurs, plantes en plastique",Undefined,Where does it come from,Where does it come from,G124,False,False,False,Ospar...
219,G94,plastique,Nappe de table,Utility items,Where does it come from,,Parent code,True,False,False,
220,G940,plastique,Mousse EVA pour les sports nautiques,Recreation,Where does it come from,Where does it come from,G73,True,False,False,Ospar...
221,G941,plastique,Emballage plastique non alimentaire,Packaging,Where does it come from,Where does it come from,G124,False,True,False,48
222,G942,plastique,Copeaux de plastique provenant de l'usinage,Industry,Where does it come from,Where does it come from,G124,False,False,False,Ospar...
223,G943,plastique,"Clôturer l'agriculture, plastique",Agriculture,Where does it come from,Where does it come from,G124,False,False,False,Ospar...
224,G944,plastique,Masse de granulés provenant du moulage par injection,Industry,Manufacturing,Where does it come from,G112,False,True,False,Ospar...
225,G95,plastique,Coton-tige,Personal hygiene,Water Treatment,Indirect,Parent code,False,True,False,98
226,G96,plastique,Serviettes hygiéniques / protège-slips / tampons et ...,Personal hygiene,Water Treatment,none,Parent code,False,True,False,99
227,G97,plastique,Rafraîchisseurs de toilettes,Personal hygiene,Where does it come from,,Parent code,True,False,False,
228,G98,plastique,Couches - lingettes,Personal hygiene,Where does it come from,none,Parent code,True,True,False,102
229,G99,plastique,Seringues - aiguilles,Medical,Where does it come from,,Parent code,True,False,False,
230,G125,caoutchouc,Ballons et bâtonnets de ballons,Recreation,Where does it come from,Direct,Parent code,True,True,False,49
231,G126,caoutchouc,Boules en caoutchouc,Recreation,Where does it come from,,Parent code,True,False,False,
232,G127,caoutchouc,Bottes en caoutchouc,Clothing,Where does it come from,,Parent code,True,False,False,
233,G128,caoutchouc,Pneus et courroies,Vehicle,Where does it come from,,Parent code,True,False,False,
234,G129,caoutchouc,Chambres à air et feuilles de caoutchouc,Vehicle,Where does it come from,,Parent code,True,False,False,
235,G130,caoutchouc,Roues,Vehicle,Where does it come from,,Parent code,True,False,False,
236,G131,caoutchouc,Bandes élastiques,Utility items,Where does it come from,,Parent code,True,False,False,
237,G132,caoutchouc,Bobine de pêche,Fishing,Where does it come from,,Parent code,True,False,False,
238,G133,caoutchouc,"Préservatifs, y compris emballage",Personal hygiene,Water Treatment,none,Parent code,True,True,False,97
239,G134,caoutchouc,Autre caoutchouc,Undefined,Where does it come from,,Parent code,True,False,False,
240,G900,caoutchouc,Gants latex de protection individuelle,Personal hygiene,Where does it come from,none,G134,True,True,False,53
241,G998,non définis,aucun rivage exposé,Where does it come from,Where does it come from,Where does it come from,Parent code,True,False,False,Ospar...
242,G211,non identifié,"Autres articles médicaux: compresses, pansements",Medical,Where does it come from,none,Parent code,True,True,False,105
243,G999,non identifié,Aucun objet trouvé dans cette enquête,Undefined,Where does it come from,,Parent code,True,False,False,
244,G159,bois,Bouchon de liège,Packaging,Where does it come from,,Parent code,True,False,False,
245,G160,bois,Pallettes,Packaging,Where does it come from,,Parent code,True,False,False,
246,G161,bois,Bois transformé,Packaging,Where does it come from,none,Parent code,False,False,False,69
247,G162,bois,Caisse,Packaging,Where does it come from,,Parent code,True,False,False,
248,G163,bois,Pots à crabe et à homard,Fishing,Where does it come from,,Parent code,True,False,False,
249,G164,bois,Caisse à poisson en bois,Fishing,Where does it come from,,Parent code,True,False,False,
250,G165,bois,"Bâtons de glace, cure-dents, baguettes chinoises",Packaging,Food and drink,none,Parent code,True,True,False,72
251,G166,bois,pinceau,Utility items,Where does it come from,,Parent code,True,False,False,
252,G167,bois,allumettes ou feux d'artifice,Recreation,Where does it come from,,Parent code,True,False,False,
253,G168,bois,planches de bois,Undefined,Where does it come from,,Parent code,True,False,False,
254,G169,bois,"Poutres, bois de calage",Undefined,Where does it come from,,Parent code,True,False,False,
255,G170,bois,Bois (transformé),Undefined,Where does it come from,,Parent code,True,False,False,
256,G171,bois,Autre bois < 50cm,Undefined,Where does it come from,,Parent code,True,False,False,
257,G172,bois,Autres bois > 50cm,Undefined,Where does it come from,,Parent code,True,False,False,
258,G173,bois,Autres bois,Undefined,Where does it come from,,Parent code,True,False,False,
259,G916,bois,Crayons et morceaux,Utility items,Where does it come from,none,G170,True,False,False,none
