loc_date,code,date,pcs_m,quantity,location,water_name,population,streets,buildings,rivs,wname_loc
"('vira-gambarogno', '2020-11-26')",G112,2020-11-26,0.0,0,vira-gambarogno,Lago Maggiore,5192,21127.242000000002,33466.982,34,"('Lago Maggiore', 'vira-gambarogno')"
"('vira-spiaggia-left-of-river', '2020-05-26')",G112,2020-05-26,0.0,0,vira-spiaggia-left-of-river,Lago Maggiore,5192,21862.702,35101.65,32,"('Lago Maggiore', 'vira-spiaggia-left-of-river')"
"('walensee_walenstadt_wysse', '2020-04-21')",G112,2020-04-21,0.0,0,walensee_walenstadt_wysse,Walensee,5679,29363.199,19661.243000000002,16,"('Walensee', 'walensee_walenstadt_wysse')"
"('walensee_walenstadt_wysse', '2020-05-19')",G112,2020-05-19,0.1,5,walensee_walenstadt_wysse,Walensee,5679,29363.199,19661.243000000002,16,"('Walensee', 'walensee_walenstadt_wysse')"
"('walensee_walenstadt_wysse', '2020-06-18')",G112,2020-06-18,0.08,2,walensee_walenstadt_wysse,Walensee,5679,29363.199,19661.243000000002,16,"('Walensee', 'walensee_walenstadt_wysse')"
"('walensee_walenstadt_wysse', '2020-07-19')",G112,2020-07-19,0.0,0,walensee_walenstadt_wysse,Walensee,5679,29363.199,19661.243000000002,16,"('Walensee', 'walensee_walenstadt_wysse')"
"('walensee_walenstadt_wysse', '2020-08-20')",G112,2020-08-20,0.0,0,walensee_walenstadt_wysse,Walensee,5679,29363.199,19661.243000000002,16,"('Walensee', 'walensee_walenstadt_wysse')"
"('walensee_walenstadt_wysse', '2020-09-23')",G112,2020-09-23,0.02,2,walensee_walenstadt_wysse,Walensee,5679,29363.199,19661.243000000002,16,"('Walensee', 'walensee_walenstadt_wysse')"
"('walensee_walenstadt_wysse', '2020-10-23')",G112,2020-10-23,0.0,0,walensee_walenstadt_wysse,Walensee,5679,29363.199,19661.243000000002,16,"('Walensee', 'walensee_walenstadt_wysse')"
"('walensee_walenstadt_wysse', '2020-11-22')",G112,2020-11-22,0.0,0,walensee_walenstadt_wysse,Walensee,5679,29363.199,19661.243000000002,16,"('Walensee', 'walensee_walenstadt_wysse')"
"('walensee_walenstadt_wysse', '2020-12-22')",G112,2020-12-22,0.0,0,walensee_walenstadt_wysse,Walensee,5679,29363.199,19661.243000000002,16,"('Walensee', 'walensee_walenstadt_wysse')"
"('weissenau-neuhaus', '2020-05-08')",G112,2020-05-08,0.0,0,weissenau-neuhaus,Thunersee,5751,23666.926,7772.041,21,"('Thunersee', 'weissenau-neuhaus')"
"('weissenau-neuhaus', '2020-06-08')",G112,2020-06-08,0.0,0,weissenau-neuhaus,Thunersee,5751,23666.926,7772.041,21,"('Thunersee', 'weissenau-neuhaus')"
"('weissenau-neuhaus', '2020-07-08')",G112,2020-07-08,0.0,0,weissenau-neuhaus,Thunersee,5751,23666.926,7772.041,21,"('Thunersee', 'weissenau-neuhaus')"
"('weissenau-neuhaus', '2020-08-10')",G112,2020-08-10,0.0,0,weissenau-neuhaus,Thunersee,5751,23666.926,7772.041,21,"('Thunersee', 'weissenau-neuhaus')"
"('weissenau-neuhaus', '2020-09-07')",G112,2020-09-07,0.0,0,weissenau-neuhaus,Thunersee,5751,23666.926,7772.041,21,"('Thunersee', 'weissenau-neuhaus')"
